G18	G64	27.010000
G29	G64	27.010000
G36	G64	27.010000
G63	G64	27.010000
G67	G64	27.010000
G73	G64	27.010000
G81	G64	27.010000
G85	G64	27.010000
G90	G64	27.010000
G93	G64	27.010000
G60	G71	26.011656
G82	G60	26.011571
G77	G61	26.011146
G66	G79	26.011135
G71	G48	26.010696
G35	G52	26.010499
G78	G89	26.010465
G48	G66	26.010000
G55	G66	26.010000
G65	G66	26.010000
G66	G65	26.010000
G81	G65	26.010000
G43	G50	25.012974
G76	G7	25.012141
G54	G78	25.012124
G98	G71	25.010616
G49	G76	25.010514
G18	G67	25.010000
G38	G67	25.010000
G45	G67	25.010000
G56	G67	25.010000
G64	G67	25.010000
G84	G67	25.010000
G90	G66	25.010000
G92	G66	25.010000
G97	G66	25.010000
G44	G87	24.013648
G52	G86	24.012340
G78	G54	24.012274
G52	G60	24.010998
G91	G18	24.010305
G48	G98	24.010174
G18	G68	24.010000
G36	G68	24.010000
G62	G68	24.010000
G70	G68	24.010000
G94	G68	24.010000
G32	G28	23.030334
G10	G29	23.025304
G85	G34	23.015540
G36	G42	23.013496
G41	G44	23.013381
G83	G52	23.011292
G97	G2	23.010571
G96	G68	23.010535
G55	G57	23.010429
G50	G73	23.010407
G39	G69	23.010000
G46	G69	23.010000
G53	G69	23.010000
G66	G70	23.010000
G67	G70	23.010000
G89	G69	23.010000
G91	G69	23.010000
G92	G69	23.010000
G20	G28	22.019295
G28	G32	22.015561
G97	G40	22.012712
G98	G53	22.011131
G53	G94	22.011030
G8	G68	22.010505
G51	G72	22.010361
G74	G85	22.010181
G95	G83	22.010176
G10	G72	22.010000
G12	G71	22.010000
G16	G71	22.010000
G29	G71	22.010000
G33	G71	22.010000
G34	G71	22.010000
G39	G71	22.010000
G55	G71	22.010000
G81	G70	22.010000
G85	G71	22.010000
G86	G71	22.010000
G88	G70	22.010000
G97	G71	22.010000
G24	G69	21.016285
G85	G72	21.011055
G26	G58	21.010794
G51	G58	21.010751
G97	G59	21.010438
G66	G69	21.010385
G66	G56	21.010066
G1	G73	21.010000
G11	G73	21.010000
G15	G73	21.010000
G16	G72	21.010000
G24	G72	21.010000
G37	G73	21.010000
G53	G72	21.010000
G55	G72	21.010000
G71	G72	21.010000
G76	G72	21.010000
G77	G72	21.010000
G78	G72	21.010000
G81	G72	21.010000
G83	G72	21.010000
G24	G83	20.015348
G50	G38	20.012098
G52	G73	20.011093
G79	G52	20.010901
G50	G56	20.010764
G74	G18	20.010759
G75	G85	20.010682
G84	G45	20.010082
G3	G1	20.010000
G51	G73	20.010000
G55	G74	20.010000
G58	G73	20.010000
G64	G74	20.010000
G76	G73	20.010000
G83	G73	20.010000
G89	G1	20.010000
G89	G73	20.010000
G59	G26	19.015958
G21	G26	19.014799
G7	G37	19.010936
G76	G49	19.010831
G24	G53	19.010819
G75	G80	19.010679
G55	G75	19.010671
G82	G12	19.010242
G99	G38	19.010133
G54	G83	19.010090
G6	G76	19.010000
G7	G75	19.010000
G47	G75	19.010000
G48	G75	19.010000
G49	G75	19.010000
G70	G75	19.010000
G71	G74	19.010000
G93	G1	19.010000
G13	G69	18.011592
G41	G42	18.011319
G7	G3	18.010763
G97	G21	18.010260
G75	G70	18.010219
G34	G79	18.010115
G16	G76	18.010000
G18	G77	18.010000
G31	G76	18.010000
G37	G76	18.010000
G51	G76	18.010000
G52	G76	18.010000
G55	G76	18.010000
G64	G76	18.010000
G72	G76	18.010000
G73	G76	18.010000
G77	G76	18.010000
G26	G21	17.014282
G17	G38	17.011178
G15	G39	17.011041
G42	G36	17.010989
G9	G46	17.010789
G41	G13	17.010731
G67	G69	17.010371
G38	G64	17.010244
G71	G78	17.010118
G19	G78	17.010000
G23	G78	17.010000
G26	G78	17.010000
G42	G78	17.010000
G55	G77	17.010000
G69	G77	17.010000
G72	G77	17.010000
G81	G77	17.010000
G86	G78	17.010000
G88	G78	17.010000
G94	G77	17.010000
G31	G18	16.015168
G25	G36	16.011077
G90	G68	16.010210
G72	G11	16.010059
G7	G79	16.010000
G21	G80	16.010000
G30	G80	16.010000
G35	G79	16.010000
G49	G79	16.010000
G50	G79	16.010000
G52	G79	16.010000
G53	G79	16.010000
G55	G79	16.010000
G75	G79	16.010000
G94	G78	16.010000
G13	G53	15.013941
G21	G24	15.012811
G32	G8	15.012353
G26	G32	15.011418
G10	G36	15.011044
G8	G38	15.010816
G25	G47	15.010581
G15	G91	15.010268
G96	G64	15.010227
G12	G66	15.010136
G90	G71	15.010103
G81	G97	15.010011
G9	G81	15.010000
G41	G80	15.010000
G46	G80	15.010000
G52	G81	15.010000
G53	G81	15.010000
G64	G80	15.010000
G64	G81	15.010000
G70	G80	15.010000
G77	G81	15.010000
G78	G81	15.010000
G87	G80	15.010000
G38	G17	14.024293
G46	G15	14.019996
G77	G15	14.013376
G86	G81	14.012648
G81	G88	14.010037
G16	G83	14.010000
G18	G83	14.010000
G55	G82	14.010000
G69	G82	14.010000
G80	G81	14.010000
G83	G82	14.010000
G89	G82	14.010000
G91	G82	14.010000
G25	G97	13.011013
G59	G32	13.011006
G17	G58	13.010222
G60	G52	13.010188
G19	G72	13.010036
G28	G83	13.010000
G33	G84	13.010000
G35	G83	13.010000
G41	G83	13.010000
G50	G83	13.010000
G58	G1	13.010000
G67	G83	13.010000
G69	G83	13.010000
G72	G83	13.010000
G74	G83	13.010000
G82	G83	13.010000
G94	G83	13.010000
G97	G83	13.010000
G88	G2	12.020566
G37	G4	12.018545
G86	G60	12.018123
G51	G44	12.010386
G7	G92	12.010278
G15	G35	12.010217
G37	G67	12.010127
G9	G85	12.010000
G33	G85	12.010000
G42	G85	12.010000
G45	G85	12.010000
G50	G85	12.010000
G66	G85	12.010000
G76	G85	12.010000
G89	G85	12.010000
G94	G85	12.010000
G96	G84	12.010000
G99	G5	12.010000
G70	G65	11.102485
G34	G89	11.049444
G79	G21	11.021427
G6	G26	11.016403
G36	G17	11.013342
G57	G34	11.010583
G11	G44	11.010354
G52	G78	11.010186
G53	G83	11.010162
G10	G73	11.010052
G3	G87	11.010000
G18	G86	11.010000
G26	G87	11.010000
G30	G86	11.010000
G44	G86	11.010000
G46	G86	11.010000
G57	G86	11.010000
G78	G86	11.010000
G88	G86	11.010000
G81	G14	10.025248
G14	G81	10.023340
G46	G2	10.018089
G71	G46	10.015969
G53	G47	10.015266
G28	G97	10.010775
G70	G28	10.010677
G34	G51	10.010611
G22	G47	10.010249
G87	G59	10.010070
G53	G63	10.010056
G1	G88	10.010000
G5	G88	10.010000
G23	G88	10.010000
G30	G88	10.010000
G33	G88	10.010000
G36	G1	10.010000
G37	G88	10.010000
G46	G87	10.010000
G58	G88	10.010000
G59	G87	10.010000
G84	G87	10.010000
G94	G87	10.010000
G95	G87	10.010000
G99	G87	10.010000
G62	G19	9.022936
G4	G57	9.013060
G1	G71	9.012385
G15	G17	9.011461
G23	G26	9.010641
G38	G85	9.010617
G50	G43	9.010287
G40	G45	9.010187
G53	G57	9.010115
G51	G53	9.010112
G36	G89	9.010000
G39	G89	9.010000
G64	G89	9.010000
G73	G89	9.010000
G80	G89	9.010000
G84	G88	9.010000
G86	G88	9.010000
G93	G89	9.010000
G99	G13	9.010000
G32	G80	8.017991
G68	G51	8.015656
G23	G57	8.014276
G2	G3	8.012842
G3	G7	8.011853
G9	G27	8.010533
G52	G33	8.010435
G17	G12	8.010159
G69	G50	8.010122
G100	G56	8.010039
G64	G90	8.010000
G65	G90	8.010000
G66	G90	8.010000
G97	G90	8.010000
G16	G85	7.029413
G21	G69	7.023231
G73	G63	7.014493
G19	G81	7.013936
G10	G47	7.013841
G69	G62	7.013396
G22	G89	7.013353
G63	G6	7.012929
G3	G9	7.010682
G2	G86	7.010679
G97	G39	7.010205
G72	G69	7.010057
G11	G92	7.010000
G30	G20	7.010000
G36	G20	7.010000
G48	G92	7.010000
G82	G91	7.010000
G86	G1	7.010000
G93	G91	7.010000
G98	G91	7.010000
G94	G74	6.057062
G56	G21	6.025025
G10	G32	6.022579
G42	G75	6.021423
G93	G26	6.020863
G11	G24	6.016357
G26	G93	6.016232
G41	G64	6.015847
G83	G58	6.015012
G53	G27	6.014488
G21	G98	6.014084
G30	G19	6.011501
G9	G8	6.011253
G56	G16	6.010801
G47	G88	6.010592
G6	G47	6.010102
G52	G47	6.010102
G59	G61	6.010049
G55	G51	6.010049
G27	G87	6.010039
G35	G93	6.010000
G57	G93	6.010000
G59	G93	6.010000
G66	G92	6.010000
G82	G92	6.010000
G82	G93	6.010000
G89	G93	6.010000
G93	G92	6.010000
G98	G92	6.010000
G97	G85	5.048143
G12	G97	5.038782
G20	G32	5.033977
G78	G39	5.026275
G44	G30	5.025654
G17	G82	5.022315
G3	G83	5.021593
G95	G78	5.021153
G42	G52	5.017927
G75	G41	5.017590
G46	G38	5.015580
G9	G93	5.015504
G43	G40	5.015188
G38	G91	5.014962
G48	G90	5.014579
G93	G5	5.014450
G56	G55	5.014350
G60	G83	5.014076
G30	G90	5.013949
G38	G44	5.013914
G34	G11	5.013527
G95	G45	5.011642
G22	G7	5.011387
G58	G14	5.010767
G50	G29	5.010345
G99	G37	5.010171
G100	G48	5.010069
G24	G94	5.010000
G42	G94	5.010000
G69	G94	5.010000
G70	G94	5.010000
G82	G94	5.010000
G83	G94	5.010000
G91	G93	5.010000
G92	G93	5.010000
G98	G94	5.010000
G54	G50	4.112649
G44	G31	4.026890
G5	G24	4.026833
G61	G82	4.025694
G30	G29	4.025006
G16	G33	4.022155
G72	G84	4.021840
G40	G66	4.021402
G27	G59	4.018645
G87	G52	4.018456
G64	G70	4.018037
G35	G84	4.017593
G62	G44	4.017392
G64	G56	4.016879
G33	G50	4.016177
G55	G9	4.016001
G31	G7	4.015896
G54	G42	4.015208
G56	G92	4.014973
G24	G76	4.014814
G56	G60	4.014483
G94	G99	4.014396
G86	G76	4.014031
G60	G11	4.013380
G43	G12	4.012857
G14	G53	4.012471
G11	G14	4.011987
G34	G68	4.011566
G3	G6	4.011053
G34	G58	4.010484
G23	G9	4.010426
G47	G63	4.010375
G97	G28	4.010248
G36	G100	4.010150
G50	G36	4.010146
G84	G39	4.010116
G73	G46	4.010033
G15	G96	4.010000
G26	G96	4.010000
G36	G96	4.010000
G45	G96	4.010000
G46	G96	4.010000
G52	G95	4.010000
G55	G95	4.010000
G57	G96	4.010000
G69	G24	4.010000
G79	G95	4.010000
G93	G6	4.010000
G48	G49	3.212698
G49	G48	3.037191
G59	G92	3.026918
G77	G33	3.024935
G10	G60	3.024893
G40	G65	3.024782
G98	G43	3.020481
G70	G72	3.019718
G26	G12	3.019567
G89	G94	3.019346
G22	G72	3.018970
G89	G34	3.018587
G57	G2	3.018534
G20	G5	3.018188
G28	G86	3.017950
G84	G72	3.017585
G7	G90	3.016083
G3	G46	3.015841
G3	G26	3.015819
G31	G67	3.015781
G34	G67	3.015649
G71	G17	3.015444
G58	G85	3.014079
G17	G95	3.013857
G81	G13	3.013855
G51	G68	3.013769
G4	G27	3.013280
G33	G34	3.013253
G87	G8	3.013181
G80	G5	3.012932
G96	G83	3.012795
G47	G35	3.012735
G9	G100	3.011450
G75	G38	3.011160
G1	G17	3.010551
G4	G28	3.010215
G1	G97	3.010000
G32	G97	3.010000
G57	G97	3.010000
G59	G97	3.010000
G83	G97	3.010000
G94	G97	3.010000
G98	G97	3.010000
G99	G96	3.010000
G10	G31	2.069047
G32	G99	2.048767
G32	G20	2.047494
G4	G65	2.042338
G18	G85	2.035576
